date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Mar-14,SCS1-01-01-01,SCS2-01-01,Senior,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),AMS - Advanced Manufacturing Services,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-01-02,SCS2-01-01,Senior,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),AMS - Advanced Manufacturing Services,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-01-03,SCS2-01-01,Senior,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),AMS - Advanced Manufacturing Services,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-01-04,SCS2-01-01,Senior,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),AMS - Advanced Manufacturing Services,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-01-06,SCS2-01-01,Senior,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),AMS - Advanced Manufacturing Services,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-01,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - LG - Local Growth,BLG - Local Growth Directorate,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-03,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - LG - Local Growth,BLG - Local Growth Directorate,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-06,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - MLG - BIS Local ,BLG - BIS Local,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-07,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - LG - Local Growth,BLG - BIS Local,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-08,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - MLG - BIS Local ,BLG - BIS Local,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-09,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - MLG - BIS Local ,BLG - BIS Local,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-02-10,SCS2-01-02,Senior,N/D,SCS1,Deputy Director - MLG - BIS Local ,BLG - BIS Local,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-03-01,SCS2-01-03,Senior,N/D,SCS1,Deputy Director - ED - Enterprise Directorate (BS),E&S - Enterprise Directorate,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-03-02,SCS2-01-03,Senior,N/D,SCS1,Deputy Director - ED - Enterprise Directorate (BS),E&S - Enterprise Directorate,NaN,N/A,N/A,Policy
Mar-14,SCS1-01-03-03,SCS2-01-03,Senior,N/D,SCS1,Deputy Director - ED - Enterprise Directorate (BS),E&S - Enterprise Directorate,0,N/A,N/A,Policy
Mar-14,SCS1-01-03-04,SCS2-01-03,Senior,N/D,SCS1,Deputy Director - ED - Enterprise Directorate (BS),E&S - Enterprise Directorate,NaN,N/A,N/A,Policy
