date,level,id,parentId
Sep-12,Senior,A1,
Sep-12,Senior,A2,A1
Sep-12,Senior,A3,A1
Sep-12,Senior,A5,A1
Sep-12,Senior,A6,A5
Sep-12,Senior,A7,A3
Sep-12,Senior,A8,A6
Sep-12,Senior,A10,A22
Sep-12,Senior,A11,A3
Sep-12,Senior,A12,A2
Sep-12,Senior,A13,A5
Sep-12,Senior,A14,A3
Sep-12,Senior,A15,A3
Sep-12,Senior,A16,A5
Sep-12,Senior,A19,A5
Sep-12,Senior,A20,A3
Sep-12,Senior,A21,A2
Sep-12,Senior,A22,A1
Sep-12,Senior,A23,A3
Sep-12,Senior,B38,A2
Sep-12,Senior,B41,A2
Sep-12,Senior,B42,A20
Sep-12,Senior,B43,A3
Sep-12,Senior,B44,B89
Sep-12,Senior,B46,A15
Sep-12,Senior,B47,A12
Sep-12,Senior,B48,A21
Sep-12,Senior,B49,A5
Sep-12,Senior,B50,A14
Sep-12,Senior,B52,A7
Sep-12,Senior,B53,B44
Sep-12,Senior,B54,A10
Sep-12,Senior,B55,A3
Sep-12,Senior,B56,A16
Sep-12,Senior,B57,A6
Sep-12,Senior,B58,A19
Sep-12,Senior,B59,A14
Sep-12,Senior,B60,A12
Sep-12,Senior,B61,A6
Sep-12,Senior,B62,A10
Sep-12,Senior,B63,A6
Sep-12,Senior,B65,A6
Sep-12,Senior,B67,A6
Sep-12,Senior,B68,A19
Sep-12,Senior,B70,A15
Sep-12,Senior,B71,A13
Sep-12,Senior,B72,A6
Sep-12,Senior,B73,A6
Sep-12,Senior,B74,A21
Sep-12,Senior,B75,A19
Sep-12,Senior,B77,A15
Sep-12,Senior,B78,A19
Sep-12,Senior,B79,A23
Sep-12,Senior,B80,A5
Sep-12,Senior,B81,A14
Sep-12,Senior,B86,A6
Sep-12,Senior,B87,A15
Sep-12,Senior,B88,A7
Sep-12,Senior,B89,A10
Sep-12,Senior,B91,A20
Sep-12,Senior,B93,A7
Sep-12,Senior,B94,A20
Sep-12,Senior,B95,A19
Sep-12,Senior,B97,A15
Sep-12,Senior,B98,A16
Sep-12,Senior,B99,A6
Sep-12,Senior,B100,A7
Sep-12,Senior,B101,A15
Sep-12,Senior,B102,A21
Sep-12,Senior,B103,A13
Sep-12,Senior,B104,A16
Sep-12,Senior,B105,A21
Sep-12,Senior,B106,A22
Sep-12,Senior,B107,A20
Sep-12,Senior,B108,A1
Sep-12,Junior,,B47
Sep-12,Junior,,B47
Sep-12,Junior,,B47
Sep-12,Junior,,B47
Sep-12,Junior,,B47
Sep-12,Junior,,B47
Sep-12,Junior,,B47
Sep-12,Junior,,A14
Sep-12,Junior,,A14
Sep-12,Junior,,B81
Sep-12,Junior,,B81
Sep-12,Junior,,B81
Sep-12,Junior,,B81
Sep-12,Junior,,B81
Sep-12,Junior,,B81
Sep-12,Junior,,B81
Sep-12,Junior,,B41
Sep-12,Junior,,B41
Sep-12,Junior,,B41
Sep-12,Junior,,B41
Sep-12,Junior,,B41
Sep-12,Junior,,B41
Sep-12,Junior,,B41
Sep-12,Junior,,A20
Sep-12,Junior,,A20
Sep-12,Junior,,A20
Sep-12,Junior,,A20
Sep-12,Junior,,A20
Sep-12,Junior,,A20
