date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-15,DWP135,,Senior,ROBERT DEVEREUX,SCS4,Permanent Secretary,Private Office,501705,180000,184999,Other
Sep-15,DWP123,DWP135,Senior,DEBBIE ALDER,SCS3,"Director General, Human Resources",Human Resources,418600.8,125000,129999,Human Resources
Sep-15,DWP187,DWP135,Senior,JEREMY MOORE,SCS3,"Director General Strategy,Policy and Analysis Group",SPAG,1051515.59,125000,129999,Economics
Sep-15,DWP202,DWP135,Senior,NOEL SHANAHAN,SCS3,"Director General, DWP Operations",Operations - Chief Operating Officer,446051.54,175000,179999,Operational Delivery
Sep-15,DWP295,DWP135,Senior,NEIL COULING,SCS3,Director General for the Universal Credit Programme,Change,128293,120000,124999,Programme and Project Management (PPM)
Sep-15,DWP315,DWP135,Senior,KEVIN CUNNINGTON,SCS3,Director General for Business Transformation Group,Business Transformation Group,1136037.96,150000,154999,Programme and Project Management (PPM)
Sep-15,DWP59,DWP135,Senior,MAYANK PRAKASH,SCS3,Technology Director General & Chief Information Officer,Technology,676480.52,195000,199999,Information Technology
Sep-15,DWP99,DWP135,Senior,MIKE DRIVER,SCS3,"Director General, Finance and Chief Financial Officer",Finance Group,0,140000,144999,Finance
Sep-15,DWP101,DWP99,Senior,JON FUNDREY,SCS2,Financial Control Director,Finance Group,2747819.55,125000,129999,Finance
Sep-15,DWP102,DWP99,Senior,JOHN PORTEOUS,SCS2,"Finance Director, Corporate and Change",Finance Group,0,110000,114999,Finance
Sep-15,DWP104,DWP99,Senior,MARK RIPLEY,SCS2,Head of Internal Audit,Finance Group,4691657.01,90000,94999,Finance
Sep-15,DWP108,DWP99,Senior,ANDREW FORZANI,SCS2,DWP Commercial Director,Finance Group,481348,120000,124999,Finance
Sep-15,DWP116,DWP123,Senior,ALISON STANLEY,SCS2,"HR Director, Civil Service Employee Policy",Cross Government HR,4281598.32,110000,114999,Human Resources
Sep-15,DWP127,DWP123,Senior,IAN PAVEY,SCS2,"HR Director, Change & Business Transformation",Human Resources,1133363.25,115000,119999,Human Resources
Sep-15,DWP128,DWP123,Senior,SARAH SCULLION,SCS2,HR Director DWP Operations,Human Resources,4228857.86,115000,119999,Human Resources
Sep-15,DWP14,DWP202,Senior,GRAEME WALLACE,SCS2,Pensions Director,Operations - Pensions,101559840.74,95000,99999,Operational Delivery
Sep-15,DWP148,DWP59,Senior,DAVID FRAZER,SCS2,Director of Data and Analytics,Technology,216062.35,95000,99999,Information Technology
Sep-15,DWP149,DWP187,Senior,PUI-LING LI,SCS2,Director of Strategic Health & Science,SPAG,0,155000,159999,Information Technology
Sep-15,DWP152,DWP187,Senior,TREVOR HUDDLESTON,SCS2,Chief Analyst,SPAG,2955592.03,100000,104999,Economics
Sep-15,DWP157,DWP135,Senior,PAUL MCCOMB,SCS2,Principal Private Secretary to the Secretary of State/running DWP Private Office,Private Office,1540784,85000,89999,Economics
Sep-15,DWP158,DWP135,Senior,RICHARD CASEBY,SCS2,Director of Communications,Communications & FLDM,4661194.74,120000,124999,Communications
Sep-15,DWP165,DWP187,Senior,TRACEY WALTHO,SCS2,Director Work and Health Unit and ODI,SPAG,4289968.89,95000,99999,Economics
Sep-15,DWP169,DWP187,Senior,PETE SEARLE,SCS2,Working Age Benefits Director,SPAG,6646898.23,100000,104999,Economics
Sep-15,DWP171,DWP187,Senior,MICHELLE DYSON,SCS2,"Director of Children, Families and Disadvantage",SPAG,4399865.59,85000,89999,Economics
