id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
root,,,,,,,,,,,
1105340,root,Sep-15,Senior,Adm Sir G M Zambellas,OF-9,First Sea Lord / Chief of Naval Staff,Navy Command,NaN,"180,000","184,999",Military
1121797,1105340,Sep-15,Senior,V Adm Sir P A Jones,OF-8,Fleet Commander / Deputy Chief of Naval Staff,Navy Command,0,"145,000","149,999",Military
1121821,1105340,Sep-15,Senior,V Adm S J Woodcock,OF-8,Second Sea Lord ,Navy Command,0,"125,000","129,999",Military
155423,1105340,Sep-15,Senior,Colin Evans,SCS2,Finance Director (Navy),Navy Command,0,"110,000","114,999",Finance
1105390,1105340,Sep-15,Senior,R Adm N W Hine,OF-7,Assistant Chief of the Naval Staff (Policy),Navy Command,0,"110,000","114,999",Military
1079272,1121797,Sep-15,Senior,R Adm A D Radakin,OF-7,Commander UK Maritime Forces,Navy Command,0,"110,000","114,999",Military
1082197,1121797,Sep-15,Senior,Maj Gen M L Smith,OF-7,Commander UK Amphibious Forces / Commandant General Royal Marines,Navy Command,0,"110,000","114,999",Military
1720768,1121797,Sep-15,Senior,R Adm M J Parr,OF-7,Commander Maritime Operations,Navy Command,0,"115,000","119,999",Military
1125222,1121821,Sep-15,Senior,R Adm K E Blount,OF-7,Assistant Chief of Naval Staff (Aviation and Carriers),Navy Command,0,"110,000","114,999",Military
1119941,1121821,Sep-15,Senior,R Adm J A Morse,OF-7,Assistant Chief of Naval Staff (Capability),Navy Command,0,"115,000","119,999",Military
1116716,1121821,Sep-15,Senior,R Adm S P Williams,OF-7,Assistant Chief of Naval Staff (Personnel) / Naval Secretary / Flag Officer Reserves,Navy Command,0,"115,000","119,999",Military
1698119,1121821,Sep-15,Senior,R Adm R Stokes,OF-7,Assistant Chief of Naval Staff (Support),Navy Command,0,"110,000","114,999",Military
1860494,1121821,Sep-15,Senior,R Adm J S Weale,OF-7,Assistant Chief of Naval Staff (Submarines) / Flag Officer Scotland and Northern Ireland,Navy Command,0,"110,000","114,999",Military
1083930,1121797,Sep-15,Senior,R Adm J R H Clink,OF-7,Assistant Chief of Naval Staff (Training),Navy Command,0,"110,000","114,999",Military
1752901,1121821,Sep-15,Senior,R Adm M C Cree,OF-7,Chief of Staff Integrated Change Programme,Navy Command,0,"110,000","114,999",Military
1913148,1121821,Sep-15,Senior,R Adm A J Burton,OF-7,Assistant Chief of Naval Staff (Ships),Navy Command,0,"110,000","114,999",Military
1370293,1121821,Sep-15,Senior,The Rev I J Wheatley,OF-7,Chaplain of the Fleet,Navy Command,0,"95,000","99,999",Military
157333,155423,Sep-15,Senior,N/D,SCS1,Command Secretary,Navy Command,0,0,0,Other
1105593,1105390,Sep-15,Senior,N/D,OF-6,Commodore Naval Staff,Navy Command,0,0,0,Military
1080848,1079272,Sep-15,Senior,N/D,OF-6,Commander Amphibious Task Group,Navy Command,0,0,0,Military
1751838,1720768,Sep-15,Senior,N/D,OF-6,Commander Portsmouth Flotilla,Navy Command,0,0,0,Military
1726762,1720768,Sep-15,Senior,N/D,OF-6,Commander Devonport Flotilla and Deputy Rear Admiral Submarines,Navy Command,0,0,0,Military
1738136,1720768,Sep-15,Senior,N/D,OF-6,Commander Faslane Flotilla,Navy Command,0,0,0,Military
1127695,1720768,Sep-15,Senior,N/D,OF-6,Commander 3 Commando Brigade Royal Marines,Navy Command,0,0,0,Military
1120354,1125222,Sep-15,Senior,N/D,OF-6,Assistant Chief of Staff Carrier Strike and Aviation,Navy Command,0,0,0,Military
1105835,1125222,Sep-15,Senior,N/D,OF-6,Commanding Officer Royal Naval Air Station Yeovilton,Navy Command,0,0,0,Military
1716891,1119941,Sep-15,Senior,N/D,OF-6,Assistant Chief of Staff Warfare,Navy Command,0,0,0,Military
155095,1913148,Sep-15,Senior,N/D,SCS1,Commodore Royal Fleet Auxiliary and Assistant Chief of Staff Afloat Support,Navy Command,0,0,0,Military
1716271,1698119,Sep-15,Senior,N/D,OF-6,Assistant Chief of Staff Logistics and Infrastruscture,Navy Command,0,0,0,Military
1618032,1125222,Sep-15,Senior,N/D,OF-6,Assistant Chief of Staff Land and Littoral Manoeuvre and Deputy Commandant General Royal Marines,Navy Command,0,0,0,Military
1444905,1913148,Sep-15,Senior,N/D,OF-6,Assistant Chief of Staff Ships,Navy Command,0,0,0,Military
