Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Professional/Occupational Group,Notes,Valid?
Mar-14,Senior,SCS1-01-01-01,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),Deputy Director - AMS - Advanced Manufacturing and Services (BS),Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing Services,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-01,"671,905",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-01-02,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),Deputy Director - AMS - Advanced Manufacturing and Services (BS),Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing Services,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-01,"745,042",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-01-02,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),Deputy Director - AMS - Advanced Manufacturing and Services (BS),Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing Services,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-01,"745,042",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-01-03,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),Deputy Director - AMS - Advanced Manufacturing and Services (BS),Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing Services,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-01,"1,624,937",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-01-04,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),Deputy Director - AMS - Advanced Manufacturing and Services (BS),Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing Services,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-01,"646,693",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-01-06,N/D,SCS1,Deputy Director - AMS - Advanced Manufacturing and Services (BS),Deputy Director - AMS - Advanced Manufacturing and Services (BS),Department for Business Innovation and Skills,Department for Business Innovation and Skills,AMS - Advanced Manufacturing Services,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-01,"1,023,544",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-02-01,N/D,SCS1,Deputy Director - LG - Local Growth,Deputy Director - LG - Local Growth,Department for Business Innovation and Skills,Department for Business Innovation and Skills,BLG - Local Growth Directorate,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-02,"356,336",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-02-03,N/D,SCS1,Deputy Director - LG - Local Growth,Deputy Director - LG - Local Growth,Department for Business Innovation and Skills,Department for Business Innovation and Skills,BLG - Local Growth Directorate,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-02,"33,027",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-02-06,N/D,SCS1,Deputy Director - MLG - BIS Local ,Deputy Director - MLG - BIS Local ,Department for Business Innovation and Skills,Department for Business Innovation and Skills,BLG - BIS Local,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-02,"227,362",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-02-07,N/D,SCS1,Deputy Director - LG - Local Growth,Deputy Director - LG - Local Growth,Department for Business Innovation and Skills,Department for Business Innovation and Skills,BLG - BIS Local,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-02,"499,366",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-02-08,N/D,SCS1,Deputy Director - MLG - BIS Local ,Deputy Director - MLG - BIS Local ,Department for Business Innovation and Skills,Department for Business Innovation and Skills,BLG - BIS Local,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-02,"424,262",1,N/A,N/A,N/A,Policy,,1
Mar-14,Senior,SCS1-01-02-09,N/D,SCS1,Deputy Director - MLG - BIS Local ,Deputy Director - MLG - BIS Local ,Department for Business Innovation and Skills,Department for Business Innovation and Skills,BLG - BIS Local,020 7215 5000,enquiries@bis.gsi.gov.uk,SCS2-01-02,"438,894",1,N/A,N/A,N/A,Policy,,1
