Back to Index,Junior/Senior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Sep-13,Senior,1,Stephen Lovegrove,SCS4,Permanent Secretary,Senior official leading a Government Department,Department of Energy and Climate Change,Department of Energy and Climate Change,Private Office Group,0300 060 4000,correspondence@decc.gsi.gov.uk,XX,0,1,165000,169999,Policy,,1,
Sep-13,Senior,2,Simon Virley,SCS3,"Director General, Markets and Infrastructure",Director General in charge of energy policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,1,1064290,1,140000,144999,Policy,"Includes costs of posts 9, 3",1,
Sep-13,Senior,3,John Fiennes,SCS2,"Director, Energy Strategy, Networks and Markets","DECC energy economics, energy strategy and portfolio office, and effective and efficient markets and networks.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,0,1,100000,104999,Policy,Costs included in post 2,1,
Sep-13,Senior,4,Bernard Bulkin,SCS2,"Chair, Office for Renewable Energy Deployment","To provide expert advice to government and externally, to help build a strong reputation for Office for Renewable Energy Deployment (ORED) as a delivery body",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,0,0.3,120000,124999,Policy,,1,
Sep-13,Senior,5,Ian McKenzie,SCS2,"Acting Director, Energy Development","Upstream onshore and offshore oil and gas; large energy infrastructure planning cases; health, concessionary fuel and pension liabilities of the former nationalised coal industry; sponsorship of the Coal Authority; digital platform and application development to support delivery of most fo the above..",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,514108,1,80000,84999,Operational Delivery,"Includes costs of posts 23, 134",1,
Sep-13,Senior,6,Ashley Ibbett,SCS2,Director and Chief Executive of the Office of Carbon Capture and Storage,Facilitating the development and deployment of CCS in the UK power sector; and enabling fossil fuel generation to contribute to the UK energy mix as part of the low carbon transition.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,0,1,80000,84999,Policy,Costs included in post 2,1,
Sep-13,Senior,7,Hugo Robson,SCS2,Commercial Director,To work with teams across DECC to improve the commercial viability of DECC’s major policies and programmes; lead the Commercial Team’s effort to enhance DECC’s understanding of our major investors and the capital markets as well as developing DECC’s commercial skills and awareness.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,1520594,1,140000,144999,Policy,"Includes costs of posts 11, 122, 124",1,
Sep-13,Senior,8,Mark Higson,SCS2,"CEO, Office for Nuclear Development","Facilitating the deployment of new nuclear power, implementing nuclear waste management policy, including geological disposal.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,1058705,0.78,115000,119999,Policy,"Includes costs of posts 30, 117",1,
Sep-13,Senior,9,Hugh McNeal,SCS2,Office for Renewable Energy Deployment,To increase the deployment of renewable energy in the UK as cost effectively as possible.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,0,1,80000,84999,Policy,Costs included in post 2,1,
Sep-13,Senior,11,N/D,SCS1,Head of Commercial Team,The Commercial Team provides power & utilities and capital markets analysis for Minister and policy colleagues in DECC; and co-ordinates investor relations for the department.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000,correspondence@decc.gsi.gov.uk,7,0,1,65000,69999,Policy,Costs included in post 7,1,
Sep-13,Senior,13,N/D,SCS1,Head of Energy Markets and Consumers,"Develop/implement Government policy retail and wholesale energy markets, manage Departmental relationship with Ofgem",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,3,1653842,1,60000,64999,Policy,,1,
Sep-13,Senior,14,Eliminated,SCS1,"Head of Integration, CCS Competition",Delivery Team - Office of Carbon Capture and Storage,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,N/A,correspondence@decc.gsi.gov.uk,101,0,1,0,0,Policy,,1,
Sep-13,Senior,16,Eliminated,SCS1,Head of System Balancing & Retail Markets,To develop policy on system balancing & retail markets,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,N/A,correspondence@decc.gsi.gov.uk,3,0,1,0,0,Policy,,1,
Sep-13,Senior,17,Eliminated,SCS1,Acting Head of Renewables Industry and Investment,To lead the Renewables Industry and Investment team,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,N/A,correspondence@decc.gsi.gov.uk,9,0,1,0,0,Policy,,1,
Sep-13,Senior,18,N/D,SCS1,"Deputy Director, Future Electricity Networks",To ensure the right electricity networks are in place to support the UK's cost effective transition to a low carbon economy and maintain secure energy supply. Responsible for the policy framework that enables the networks to adapt to changes in electricity generation and demand over the coming decades.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,3,672534,1,60000,64999,Policy,,1,
Sep-13,Senior,19,N/D,SCS1,Head of New Nuclear and Strategy,To enable new nuclear build in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,8,986163,1,65000,69999,Policy,,1,
Sep-13,Senior,20,N/D,SCS1,Head of Carbon Capture & Storage Policy,Developing Carbon Capture & Storage Policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,6,709900,1,60000,64999,Policy,,1,
Sep-13,Senior,21,N/D,SCS1,Head of Offshore Oil and Gas Environment and Decommissioning,Environmental regulation of the offshore oil and gas industry,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,5,2524889,1,60000,64999,Policy,,1,
Sep-13,Senior,22,N/D,SCS1,Head - Energy Economics and Analysis,"Provision of economic analysis and advice on energy policy. This includes on wholesale and retail competition, electricity market reform, networks, system balancing, nuclear, CCS, commercial, oil and gas",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,3,989819,1,85000,89999,Economics,,1,
Sep-13,Senior,23,Vacant,SCS1,Head of Coal Liabilities,Responsible for the liabilities of the nationalised coal industry in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,5,0,1,0,0,Policy,This post is vacant. Costs included in post 5,1,
Sep-13,Senior,26,N/D,SCS1,Deputy Director,Energy Resilience,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000,correspondence@decc.gsi.gov.uk,67,1176583,1,75000,79999,Policy,,1,
Sep-13,Senior,28,N/D,SCS1,Head of Energy Market Design,"Leading development of a package of reforms to the electricity market that will enable sufficient investment to deliver secure, affordable, and low carbon power.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,133,1243666,1,90000,94999,Policy,,1,
Sep-13,Senior,29,N/D,SCS1,Head of National Infrastructure Consents,"Responsible for assessing planning applications for major energy proposals including power stations and overhead lines, and advising on planning policy for major infrastructure",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,5,750504,1,75000,79999,Policy,,1,
Sep-13,Senior,30,N/D,SCS1,Head of Nuclear Decommissioning Waste and Safety,"To enable the beneficial uses of radioactive substances and address the UK’s existing nuclear legacy to give confidence to society, and provide the stable foundations for nuclear power to continue to play a part in the UK’s energy mix.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,8,0,1,60000,64999,Policy,Costs included in post 8,1,
Sep-13,Senior,31,Eliminated,SCS1,Acting Head of Feed-in Tariffs team,Run Feed-in tariffs scheme and carry out review,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,N/A,correspondence@decc.gsi.gov.uk,9,0,1,0,0,Policy,,1,
Sep-13,Senior,32,N/D,SCS1,Head Licensing exploration and Development,Licensing UK's oil and gas and CO2,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,5,1955805,1,95000,99999,Policy,,1,
