Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Sep-15,Senior,DFE-1127,N/D,SCS1,Deputy Director,"Responsible for Finance Business Partnering, improving financial management in DfE by providing: decision support, advice and guidance on financial issues to DGs and their directorates.  Provide a conduit between the corporate centre and finance in the business liaising with the business and Strategy Unit on Spending Reviews; business planning; efficiency and savings exercises. Responsible for finance professionalism and career management for DfE trainees accountants and accountants.",Department for Education,Department For Education,Finance & Commercial Group,0370 000 2288,N/D,DFE-1009,1168561.59,0.97,0,0,Finance,,1
Sep-15,Senior,DFE-1094,N/D,SCS1,Deputy Director,"Head of IT Operations. Responsible for the management and delivery of all of the Department’s internal IT systems and services including the desktop, email, filing systems, printing, Video-conferencing and telephony. It is IT Operation's job to ensure that systems are modern, responsive and reliable and that everyone in DFE and its executive agencies has the technology tools they need to do their job and to collaborate effectively with colleagues inside and outside the Department.",Department for Education,Department For Education,IT Group,0370 000 2288,N/D,DFE-1020,122342,1,0,0,Information Technology,,1
Sep-15,Senior,DFE-1256,N/D,SCS1,Deputy Director,Deputy Director responsible for the EFA's work in ensuring that existing school and college buildings are maintained appropriately. This includes managing the teams responsible for the Property Data Survey and the Condition Improvement Fund.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,1044388.24,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1026,N/D,SCS1,Deputy Director,"The Deputy Director for NCTL Business Services oversees the Programme Management Office, business transformation programmes, workforce planning and commercial advice for the agency. Liaises closely with shared service functions (HR, Finance, Commercial, Legal, IT) within DfE to ensure that the NCTL operates effectively and efficiently.",Department for Education,National College,National College for School Leadership,0370 000 2288,N/D,DFE-1049,1760531.07,1,0,0,Policy,,1
Sep-15,Senior,DFE-1016,Graham Archer,SCS2,Director,"Jointly leading the Children’s Services Policy Family which supports Ministers in developing and implementing policies relating to children’s issues. Responsible within the Policy Family for policy on safeguarding and child protection, social work reform, the children's social care innovation programme and local authority performance in relation to children's social care.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1002,1983407.15,1,85000,89999,Policy,,1
Sep-15,Senior,DFE-1257,N/D,SCS1,Deputy Director,"Deputy Director for ACCPMD. Responsible for a wide range of work with open academies, including compliance with the funding agreement, the academies enquiry service, and communications with the academy sector.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1133,1841602.555,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1210,N/D,SCS1,Deputy Director,Responsible for ITT marketing and ensuring the NCTL delivers effective engagement with stakeholders in support of the School Lead System.,Department for Education,National College,National College for School Leadership,0370 000 2288,N/D,DFE-1049,1056206.125,1,0,0,Policy,,1
Sep-15,Senior,DFE-1105,N/D,SCS1,Deputy Director,Programme Director for the delivery of the £2Bn Priority School Building Programme 2 ('PSBP2'). PSBP2 is the second phase of PSBP and is a centrally managed programme set up to address the condition needs of those schools most in need of urgent repair. This Deputy Director role will oversee the procurement and delivery of 277 schools either being rebuilt or insuring they have their condition needs met from 2015 to 2021.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,428210.5,1,0,0,Operational Delivery,,1
Sep-15,Senior,DFE-1171,N/D,SCS1,Deputy Director,"Leads on School Employment Division, which includes teachers’ pensions policy and matters relating to teachers’ pay and conditions, industrial relations, teacher workload, teacher regulation and safer recruitment.",Department for Education,Department For Education,Teachers and Teaching Group,0370 000 2288,N/D,DFE-1017,1680511.985,0.97,0,0,Policy,,1
Sep-15,Senior,DFE-1133,Susan Baldwin,SCS2,Director,Academies and Maintained School Group: The Director is the senior responsible owner for: academies and free schools financial management and funding agreement compliance; funding operations (all schools and academies); fraud awareness and the operational framework for anti-fraud activity across the EFA; and the EFA’s Change Programme.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1136,322399,1,95000,99999,Operational Delivery,,1
