Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Professional/Occupational Group,Notes,Valid
Sep-12,Senior,A1,Mark Lowcock,SCS4,Permanent Secretary,Permanent Secretary,Department for International Development,DFID,DFID,0845 300 4100,enquiry@dfid.gov.uk,XX,"623,004",1,"160,000","164,999",N/A,Policy,,
Sep-12,Senior,A2,Richard Calvert,SCS3,DG Corporate Performance,"Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.",Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A1,"1,396,375",1,"125,000","129,999",N/A,Policy,,
Sep-12,Senior,A3,Michael Anderson,SCS3,DG Policy & Global Programmes,"Policy development & Implementation. Development 
spending through UN, WB & International Organs. 
Research, Evidence & VfM. ",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A1,"449,902",1,"120,000","124,999",N/A,Policy,,
Sep-12,Senior,A5,Joy Hutcheon ,SCS3,"DG Africa, South and East Asia and Western Hemisphere ",Supervision of UK Bilateral Aid across 35 developing countries.  Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A1,"554,336",1,"105,000","109,999",N/A,Policy,,
Sep-12,Senior,A6,Jim Drummond,SCS2,Director of West & Southern Africa,Deliver Africa Division’s DPF to reduce poverty in West and Southern Africa,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A5,"944,830",1,"105,000","109,999",N/A,Policy,,
Sep-12,Senior,A7,Nick Dyer,SCS2,Director Policy ,"Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A3,"574,093",1,"90,000","94,999",N/A,Policy,,
Sep-12,Senior,A8,Dave Fish,SCS2,"Head of  DFID, Zimbabwe",Deliver a high quality development programme in Zimbabwe,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A6,0,1,"115,000","119,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,A10,Moazzam Malik,SCS2,Director of Western Asia & Stabilisation,"Manage the Stabilisation Unit, across Government body tasked to provide civilian support and advice on stabilisation in the wake of conflict.",Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A22,"315,339",1,"90,000","94,999",N/A,Policy,,
Sep-12,Senior,A11,"Manuel, Marcus",SCS2,Prog Director/BIS Head of Cape /Secondment to ODI,"Head of ODI's Centre for Aid and Public expenditure and Programme Director of new initiative to improve budget effectiveness, transparency and accountability in Fragile States.",Department for International Development,DFID,DFID,0845 300 4100,enquiry@dfid.gov.uk,A3,0,0.92,"85,000","89,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,A12,"Robertson, Neil",SCS2,Director Human Resources,"Represent DFID in the UK Government more widely on people management & corporate performance and ensure effective relationships with HMT, FCO, MOD & OGDs.  ",Department for International Development,DFID,Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A2,"599,239",1,"100,000","104,999",N/A,Human Resources,,
Sep-12,Senior,A13,"Sharpe, Sam ",SCS2,"Head of  DFID, India",Deliver a high quality development programme in India,Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A5,0,1,"95,000","99,999",N/A,Policy,Costs withheld for Security Reasons,
Sep-12,Senior,A14,ND,SCS2,Director International Relations,"Manage DFID's relations with EC, European Member States & other donor countries. Represent the British Government in major multilatral and bilateral negotiations on the international system.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A3,"309,659",1,"90,000","94,999",N/A,Policy,,
Sep-12,Senior,A15,ND,SCS2,Director Intrnational Finance & Dev Effectiveness Division,"Manage DFID's relations with the WB, IMF, Reg Dev Banks & Dev Finance Institutions. Manage private sectorinfrastructure investments & the CDC. Work in partnership with other DFID divisions and other Whitehall Depts -including No 10 & Treasury.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A3,"846,855",1,"90,000","94,999",N/A,Policy,,
Sep-12,Senior,A16,"Wardell, Sue ",SCS2,"Director Security & Humanitarian & Middle East, Caribbean & OTs",Responsibility for overseeing policy and resources for CHASE and the regions.,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A5,"27,317",1,"95,000","99,999",N/A,Policy,,
Sep-12,Senior,A19,Donal Brown,SCS2,Acting Director East and Central Africa,"Responsibility for east and central Africa including Ethiopia, Kenya and Somalia, Rwanda and Burundi, Sudan, Tanzania and Uganda.",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A5,"703,289",1,"80,000","84,999",N/A,Policy,,
Sep-12,Senior,A20,Chris Whitty,SCS2,Chief Scientific Advisor / Director Research & Evidence,"Chief Scientific Advisor and Director Research 
& Evidence",Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A3,"1,107,561",1,0,0,N/A,Policy,,
Sep-12,Senior,A21,Ditchburn Liz,SCS2,"Director, Value for Money ","Responsible for DFID's financial management, corporate performance and delivery of Change. Improve the value for money achieved by DFID in delivering it's Public Service Agreement.",Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A2,"1,019,502",1,"90,000","94,999",N/A,Finance,,
Sep-12,Senior,A22,Bowman Mark,SCS3,"Director General Humanitarian, Security, Conflict and International Finance","Director General Humanitarian, Security, 
Conflict and International Finance",Department for International Development,DFID,Policy & International,846 300 4100,enquiry@dfid.gov.uk,A1,"360,436",1,"120,000","124,999",N/A,Policy,,
Sep-12,Senior,A23,Dercon Stefan,SCS2,Chief Economist,Chief Economist,Department for International Development,DFID,Finance & Corporate Performance,847 300 4100,enquiry@dfid.gov.uk,A3,"334,466",1,"90,000","94,999",N/A,Economics,,
Sep-12,Senior,B38,James Helm,SCS1,"Deputy Director, Director of Communications",Director ofCommunications,Department for International Development,DFID,Finance & Corporate Performance,848 300 4100,enquiry@dfid.gov.uk,A2,"2,173,074",1,"85,000","89,999",N/A,Policy,,
Sep-12,Senior,B41,Agnew Charles,SCS1,"Deputy Director, Head of Information Systems Department","Overall management of Information Systems in DFID. Includes Business Analysis, Systems Development, Help Desk and Operations, Technical Change Management and Technical Archicture teams.",Department for International Development,DFID,Finance & Corporate Performance,0845 300 4100,enquiry@dfid.gov.uk,A2,"3,354,330",1,"65,000","69,999",N/A,Information Technology,,
Sep-12,Senior,B42,Amery Jenny,SCS1,"Deputy Director, Chief Professional Officer Human Development (Education and Health)",Chief Professional Officer Health and Education,Department for International Development,DFID,Policy & International,0845 300 4100,enquiry@dfid.gov.uk,A20,"143,277",1,"65,000","69,999",N/A,Policy,,
Sep-12,Senior,B43,Austin Chris,SCS1,"Deputy Director, Conflict Humanitarian And Security Department",Head of Department,Department for International Development,DFID,Country programmes,0845 300 4100,enquiry@dfid.gov.uk,A3,"3,126,086",1,"80,000","84,999",N/A,Policy,,
