Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Oct-15,Senior,CMO-038,N/D,SCS1,Deputy Director - Clinical Excellence Awards Policy,"'Responsible for - operational process for National Clinical Excellence Awards - Policy development on the awards, including input to the Independent Review by the DDRB.'",Department of Health,Department of Health,Chief Medical Officer's Private Office,020 7210 4850,N/D,CMO-002,317007,0.5,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-063,N/D,SCS1,"Deputy Director, Obesity and Food Policy",'Responsible for: Obesity Policy.',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-019,772780,0.6,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-063,N/D,SCS1,"Deputy Director, Obesity and Food Policy",'Responsible for: Obesity Policy.',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-019,772780,0.6,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-077,N/D,SCS1,Deputy Director for Maternity & Child Health,"Responsible for Policy on maternal mental health, personalisation and choice in maternity care and infant feeding",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-022,653718,0.62,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2358,N/D,SCS1,"Deputy Director - Office for Life Sciences, Health Innovation","Office for Life Sciences, Health Innovation",Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT2355,0,0.67,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-NHSEFP-116,Peter Sellars,SCS2,Director of Estates and Facilities,"'Responsible for - National policy for NHS Estates & Facilities functions in relation to the provision of safe, clean, and suitable patient environments '",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN140,323375,0.54,45000,49999,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2359,N/D,SCS1,"Deputy Director - Office for Life Sciences, Health Innovation","Office for Life Sciences, Health Innovation",Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT2355,0,0.67,ND,,Policy,Cost of Reports Added to IGT-2355 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT-2004,N/D,SCS1,Senior Technical Advisor,'Provision of special advice on Multiple Sclerosis risk sharing scheme.',Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-101,0,0.6,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-067,N/D,SCS1,Head of Health Protection Analytical team,Responsible for:Health Protection Analytical Team,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-017,597884,0.7,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER106,N/D,SCS1,Deputy Director - Strategic Engagement,Responsible for supporting the Executive Committee to determine the narrative for a new DH operating model,Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-005,0,0.8,ND,,Policy,Cost of Reports Added to IGO-005 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN146,N/D,SCS1,Head of NHS Litigaton Improvement Programme,Leading the a cost improvement programme for the NHS Litigation Authority,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-PICD-033,0,0.82,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-2388N,N/D,SCS1,Deputy Director - NHS Cost Recovery programme,'Leads the engagement with the NHS to design and deliver implementation of the migrant and visitor NHS cost recovery programme. ',Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-004,0,0.82,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD78,N/D,SCS1,Deputy Director - Obesity and Diabetes,Deputy Director - 0-5 programme,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-019,0,1,ND,,Policy,Cost of Reports Added to PHD-019 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-012,Marion Furr,SCS2,Director Ministerial Business & Parliamentary Accountability,'Responsible for managing DH’s corporate accountability to Parliament and the public. Specifically to support Ministers by managing and maintaining private offices to respond to all correspondence and FoI requests from MPs and the public to respond to all PQs and Parliamentary Business to process the Queens Honours nominations from the NHS and other health and social care organisations and DH employees.',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-005,2736741,0.66,60000,64999,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN144,N/D,SCS1,Deputy Director - Delivery Team,Delivery Against NHS Performance,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN131,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-121,N/D,SCS1,Deputy Director - Head of Internal Audit,"'Responsible for - Delivering an Internal Audit function for the health family group through a shared service. Ensuring audit plans are in place and delivered for DH and its ALBs, giving confidence that assurance is in place for the system as a whole. Ensuring audit work meets the Public Sector Internal Audit quality standards.'",Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-015,622703,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-GFM-276,N/D,SCS1,Deputy Director-Finance Operations,"Responsible for the provision of Corporate Finance services including: Payroll, Expenses (including taxation), Accounts payable/receivable Losses and special payments, Government procurement card, DH finance system support reports training and transactions.'",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-GFM-027,1400665,1,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-2310,N/D,SCS1,"Deputy Director, Quality Improvement","Supporting the health and social care system in England to improve the quality of care by developing a strategic overview informed by high-quality evidence and analysis about the state of care; developing policy proposals about patient safety and compassionate care; ensuring the commitment to respond positively to the Francis report continues and measures are in place to deliver specific commitments, focusing on patients, carers, families and staff before structures, systems and processes.",Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-1945,461156,0.91,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-074,N/D,SCS1,Deputy Director for Mental Health Policy & Strategy,"'Providing leadership and strategic direction for mental health & disability policy including offender mental health, secure services and migrant health.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-026,491126,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
