Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Total Pay (£),Professional/Occupational Group,Notes,Valid?
Sep-13,Senior,10000,Simon Fraser,SCS4,Permanent Under-Secretary and Head of the Diplomatic Service,Leading the FCO and the Diplomatic Service,Foreign and Commonwealth Office,Foreign and Commonwealth office,PUS,0207 008 1500,dp-foi.img@fco.gov.uk,XX,0,1,"180,000","184,999",N/A,,,1
Sep-13,Senior,11000,Simon Gass,SCS3,Director General Political,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth office,DG Political,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0,1,"135,000","139,999",N/A,,,1
Sep-13,Senior,11100,Richard Crompton,SCS2,Director South Asia and Afghanistan,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"90,000","94,999",N/A,,,1
Sep-13,Senior,11101,Charles Stagg,SCS3,HMA Kabul,Representing British interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"140,000","144,999",N/A,,,1
Sep-13,Senior,11102,James Bevan,SCS3,BHC New Delhi,Representing British interests in India,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"135,000","139,999",N/A,,,1
Sep-13,Senior,11103,Adam Thomson,SCS3,BHC Islamabad,Representing British interests in Pakistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"130,000","134,999",N/A,,,1
Sep-13,Senior,11104,Robert Gibson,SCS2,BHC Dhaka,Representing British interests in Bangladesh,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11106,John Rankin,SCS2,BHC Colombo,Representing British interests in Sri Lanka,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11107,Robert Chatterton-Dickson,SCS2,DHM Kabul,Representing British interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11109,Alison Blake,SCS2,DHM Islamabad,Representing British Interests in Pakistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11110,Catherine Royle,SCS2,Kabul - General,Representing British Interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11112,Peter Beckingham,SCS2,DHC Mumbai,Representing British Interests in India,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11200,Paul Arkwright,SCS2,Director International Institutions,Senior policy advice on international organisations,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11201,Alison Leslie,SCS3,HMA and Permanent Representative to NATO,Representing British interests at NATO,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"120,000","124,999",N/A,,,1
Sep-13,Senior,11202,Mark Lyall Grant,SCS3,Permanent Representative and Ambassador to the United Nations,Representing British interests at the UN,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"145,000","149,999",N/A,,,1
Sep-13,Senior,11203,Patrick Turner,SCS2,Deputy Permanent Representative to NATO,Representing British interests at NATO,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11204,Post Deleted,SCS2,HMA and Deputy Permanent Representative to the United Nations,Representing British interests at the UN,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,0,0,N/A,,,1
Sep-13,Senior,11205,Peter Wilson,SCS2,General - Permanent Representative to United Nations,Representing British interests at the UN,Foreign and Commonwealth Office,Foreign and Commonwealth Office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11300,David Quarrey,SCS2,Director Middle East & North Africa,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
Sep-13,Senior,11301,Simon Collis,SCS2,HMA Baghdad,Representing British interests in Iraq,Foreign and Commonwealth Office,Foreign and Commonwealth office,Middle East & North Africa Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0,1,"85,000","89,999",N/A,,,1
