Back to Index,Senion/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Mar-14,Senior,19678,"Nick,Macpherson",SCS4,Permanent Secretary,"Responsible for decision making, Coordination and Management of the Department and Communications with media and the public.",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,XX,0,1,180000,184999,,Policy,Permanent Secretary,1
Mar-14,Senior,23164,"John,Kingman",SCS4,Second Permanent Secretary,"Responsible for growth policy, financial services and infrastructure",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0,1,155000,159999,,Policy,Second Permanent Secretary,1
Mar-14,Senior,23165,"Sharon,White",SCS4,Second Permanent Secretary,"Responsible for the Treasury's work to promote the UK economic prosperity by maintaining financial stability internationally and in the UK' promoting global prosperity, driving economic reform in the EU",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0,1,150000,154999,,Policy,Second Permanent Secretary,1
Mar-14,Senior,24043,Vacant,SCS3,"Director General, Public Spending","Responsible for the Treasury's work on Public services with overall responsibility for managing public spending, strengthening financial discipline across central government, helping to ensure the delivery of more cost effective public services, and contributing to creating the conditions for sustainable growth whilst supporting development in infrastructure and a low carbon economy.",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,N/A,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,1,N/A,,,Policy,Vacant,1
Mar-14,Senior,24596,"Stephen, Field",SCS2,Director IMF,Responsible for IMF,Her Majesty's Treasury,HM Treasury,International and EU,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25448,0,1,80000,84999,,Policy,,1
Mar-14,Senior,24775,"Charles,Roxburgh",SCS3,Director General Financial Services,Responsible for Financial Services,Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23164,0,1,130000,134999,,Policy,,1
Mar-14,Senior,25448,"Mark,Bowman",SCS3,Director General International Finance,Responsible for International Finance,Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0,1,120000,124999,,Policy,,1
Mar-14,Senior,24041,"Dave,Ramsden",SCS3,Director General and Chief Economic Adviser to the Treasury,"Responsible for economic and fiscal policy advice, analysis and surveillance. As head of Government Economic service leadership of the economic profession across government, working closely with other heads of profession, in particular for social research.",Her Majesty's Treasury,HM Treasury,Economics and Fiscal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0,1,125000,129999,,Policy,,1
Mar-14,Senior,24042,"Indra,Morris",SCS3,"Director General, Tax and Welfare",Responsible for Tax and Welfare,Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,1,125000,129999,,Policy,,1
Mar-14,Senior,24025,"Kirstin,Baker",SCS2,"Director, Finance and Commercial","Responsible for Estates, IT, Management of Domestic Budget, Accounts and Commercial Activities",Her Majesty's Treasury,HM Treasury,Corporate Centre,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,920886,0.6,50000,54999,,Policy,Part Time 0.6 FTE,1
Mar-14,Senior,24038,"Geoffrey,Spence",SCS2,"Chief Executive, Infrastructure UK","Responsible for growth-related policy and expenditure, includes infrasture stratgy and delivery, and public private partnerships.",Her Majesty's Treasury,HM Treasury,Infrastructure UK (IUK),020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23164,4112665,1,170000,174999,,Policy,,1
Mar-14,Senior,24024,"Julian,Kelly",SCS2,"Director,Public Spending","Responsible for Spending Control, Pay and Pensions",Her Majesty's Treasury,HM Treasury,Public Spending,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,1,90000,94999,,Policy,,1
Mar-14,Senior,24027,"Mike,Williams",SCS2,Director Business and International Tax,"Responsible for Corporation Tax, Capital Gains Tax, Value Added Tax, other consumption taxes and duties, International Tax and Environmental taxes.",Her Majesty's Treasury,HM Treasury,Business and International Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0,1,110000,114999,,Policy,,1
Mar-14,Senior,24058,"Shona,Riach",SCS2,Director International,Responsible for advancing the UK's economic and financial interests,Her Majesty's Treasury,HM Treasury,International and EU,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25448,0,1,85000,89999,,Policy,,1
Mar-14,Senior,24040,"Nikhil,Rathi",SCS2,Director Financial Services,Responsible for Financial Services Regulatory Framework and Financial Markets Policy Issues,Her Majesty's Treasury,HM Treasury,Financial Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24775,0,1,85000,89999,,Policy,,1
Mar-14,Senior,24028,"Jeremy,Pocklington",SCS2,"Director, Enterprise & Growth Unit (EGU)",Responsible for Expenditure and Policy on Growth-Related Services and Business,Her Majesty's Treasury,HM Treasury,Enterprise and Growth,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,1,85000,89999,,Policy,,1
Mar-14,Senior,24029,"Tamara,Finkelstein",SCS2,"Director, Public Services",Responsible for Oversight of Major Public Service Expenditure,Her Majesty's Treasury,HM Treasury,Public Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,0.9,75000,79999,,Policy,Part Time 0.9 FTE,1
Mar-14,Senior,24030,"Beth,Russell",SCS2,"Director, Personal Tax, Welfare and pensions Group","Responsible for Personal Tax, Welfare, Labour Market policy, HMRC/DWP Expenditure, Pensions and Savings, and Distributional Analysis.",Her Majesty's Treasury,HM Treasury,"Personal Tax, Welfare and Pensions",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0,1,80000,84999,,Policy,,1
Mar-14,Senior,24031,"Lindsey,Fussell",SCS2,"Director, Public Services",Responsible for Oversight of Major Public Service Expenditure,Her Majesty's Treasury,HM Treasury,Public Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,0.89,75000,79999,,Policy,Part Time 0.9 FTE,1
Mar-14,Senior,24032,"Peter,Curwen",SCS2,Director Europe,Responsible for Europe Finance,Her Majesty's Treasury,HM Treasury,International and EU,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25448,0,1,90000,94999,,Policy,,1
Mar-14,Senior,24033,"Lowri,Khan",SCS2,Director Financial Stability,"Responsible to monitor, contingency plan and intervene were necessary in situations of financial stability; and to manage the legacy of the financial sector interventions the Government has already undertaken.",Her Majesty's Treasury,HM Treasury,Financial Stability,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24775,0,1,85000,89999,,Policy,,1
Mar-14,Senior,24036,"James,Bowler",SCS2,Director Strategy Planning and Budget,"Responsible for defining forward strategy, work programme, the budget, and short-term priority policy projects",Her Majesty's Treasury,HM Treasury,"Strategy, Planning and Budget",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0,1,95000,99999,,Policy,,1
Mar-14,Senior,24059,"James,Richardson",SCS2,"Director, Fiscal Policy","Responsible for Fiscal strategy, funding, and dept management, and montoring fiscal position.",Her Majesty's Treasury,HM Treasury,Director's Office Fiscal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,0,1,85000,89999,,Policy,,1
Mar-14,Senior,24062,"Alison,Cottrell",SCS2,Director Corporate Services,"Responsible for HR and Corporate Change Management,developing corporate policies and processes",Her Majesty's Treasury,HM Treasury,Corporate Centre,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0,0.5,45000,49999,,Policy,Split Job 0.5 FTE,1
Mar-14,Senior,24064,"Alison,Cottrell",SCS2,Director Financial Services,Responsible for Financial Services Policy Issues,Her Majesty's Treasury,HM Treasury,Financial Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24775,0,0.5,45000,49999,,Policy,Split Job 0.5 FTE,1
