Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Sep-14,Senior,4PO01,Mark Sedwill,SCS4,Permanent Secretary,'The permanent secretary of the Home Office is responsible to the home secretary and parliament for leading the Home Office group so that the Home Office delivers its objectives in the short term and builds capacity to deliver in the future.',Home Office,Home Office,Permanent Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,XX,0,1,180000,184999,,Other,,1
Sep-14,Senior,2PO01,Tim Foy,SCS2,"Director, Strategy and Delivery","Strategy and Delivery Unit plays a key role in strengthening the Department's strategy and policy governance. Working collaboratively with the strategy and policy teams across the Home Office and Agencies to identify performance risks, to provide focused attention to improve performance and inject innovative thinking and critial challenge into policy and operational development.",Home Office,Home Office,Strategy and Delivery Unit,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,460000,1,85000,89999,,Operational Delivery,,1
Sep-14,Senior,1PO04,N/D,SCS1,"Deputy Director, Strategy and Delivery","Strategy and Delivery Unit plays a key role in strengthening the Department's strategy and policy governance. Working collaboratively with the strategy and policy teams across the Home Office and Agencies to identify performance risks, to provide focused attention to improve performance and inject innovative thinking and critial challenge into policy and operational development.",Home Office,Home Office,Strategy and Delivery Unit,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2PO01,0,1,0,0,,Operational Delivery,Post filled on a temporary basis. Staff salary costs reported under 2PO01.,1
Sep-14,Senior,1PO03,N/D,SCS1,Principal Private Secretary to the Permanent Secretary,"'Private Office provides a high level of support to Ministers and the Permanent Secretary in establishing and maintaining effective working relationships between Ministers and the Department’s officials, and support the Department in their delivery of the Home Office’s objectives.'",Home Office,Home Office,Permanent Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,280000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,1PO01,N/D,SCS1,Principal Private Secretary to Home Secretary,"Private Office provides a high level of support to Ministers and the Permanent Secretary in establishing and maintaining effective working relationships between Ministers and the Department’s officials, and support the Department in their delivery of the Home Office’s objectives.'",Home Office,Home Office,Home Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2PO01,1850000,1,0,0,,Operational Delivery,,1
Sep-14,Senior,2PO02,'Eliminated',SCS2,Principal Private Secretary and Head of Private Office,"Private Office provides a high level of support to Ministers and the Permanent Secretary in establishing and maintaining effective working relationships between Ministers and the Department’s officials, and support the Department in their delivery of the Home Office’s objectives.'",Home Office,Home Office,Home Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,0,1,0,0,,Operational Delivery,Post downgraded to SCS PB1,1
Sep-14,Senior,1BF20,N/D,SCS1,Head of Operational Assurance,Operational Assurance Directorate will provide objective second line assurance of Border Force operational activity through the development and implementation of new assurance standards and a risk-based assurance and testing regime. It will act as the central point of contact within Border Force for Home Office and external audit and assurance teams. Central oversight and consolidation within Border Force of third party review/inspection recommendations will inform the operational response and ensure that there is progress to deliver continuous improvement. Co-ordination of assurance and audit activity including outcomes from border security testing programmes and from the analysis of internal and external reviews will serve to identify cross Border Force risks and vulnerabilities and ensure that they are addressed.,Home Office,Home Office,Operational Assurance,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,1060000,1,0,0,,Operational Delivery,New post,1
Sep-14,Senior,1BF17,N/D,SCS1,"Director, National Operations Command","Director responsible for managing Border Force critical incidents, seasonal relief workforce & development of the Operational Resources Model.",Home Office,Home Office,National Operations Command,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,6700000,1,0,0,,Operational Delivery,Post being filled on a temporary basis,1
Sep-14,Senior,1BF21,N/D,SCS1,"Deputy Director, Capability Integration","Capability Integration directorate is responsible for developing and implementing a Target Operating Model for the border security system and contributing agencies, using the optimal balance of people, training, intelligence, technology and leadership and playing a central role in Home Office transformation, ensuring that capability integration is considered across wider systems.",Home Office,Home Office,Capability Integation,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF04,0,1,0,0,,Operational Delivery,New post. Team salary costs included with 2BF03,1
Sep-14,Senior,1BF18,N/D,SCS1,Head of Intelligence,"' To effectively and efficiently manage all intelligence received, internally or externally, related to Border Force.",Home Office,Home Office,Intelligence,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,19550000,1,0,0,,Operational Delivery,,1
