date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-15,2,317,Senior,Jonathan Day,SCS4,"Permanent Secretary, Chairman of the JIC and Professional Head of Intelligence Analysis",Joint Intelligence Organisation,0,145000,149999,Policy
Sep-15,5,317,Senior,Tom Scholar,SCS4,"Permanent Secretary, Prime Minister's Adviser, Head of the European and Global Issues Secretariat",European and Global Issues Secretariat,0,150000,154999,Policy
Sep-15,7,317,Senior,Sir Mark Lyall Grant,SCS4,"Permanent Secretary, National Security Adviser",National Security Secretariat,0,160000,164999,Other
Sep-15,8,405,Senior,Eliminated,SCS4,Permanent Secretary of the Cabinet Office and First Parliamentary Counsel,Government in Parliament,0,0,0,Law
Sep-15,10,317,Senior,Helen MacNamara,SCS3,Director General and Head of Economic and Domestic Affairs Secretariat,Economic and Domestic Affairs Secretariat,375920,105000,109999,Policy
Sep-15,13,7,Senior,Paddy McGuinness,SCS3,"Director General, Deputy National Security Adviser, Intelligence Security and Resilience",National Security Secretariat,0,0,0,Policy
Sep-15,16,317,Senior,Edward Chaplin,SCS3,Prime Minister's Appointments Secretary,Honours and Appointments Secretariat,0,45000,49999,Policy
Sep-15,22,281,Senior,Liam Maxwell,SCS2,"Director, Chief Technology Officer, HM Government",Government Digital Service,574321,140000,144999,Other
Sep-15,24,497,Senior,Guy Lester,SCS2,"Director, Finance and Estates Management",Finance & Estates Management,89987,90000,94999,Finance
Sep-15,25,216,Senior,Eliminated,SCS2,"Director, Principal Private Secretary to the Deputy Prime Minister",Deputy Prime Minister's Office,0,0,0,Policy
Sep-15,31,592,Senior,Adrian Dottridge,SCS2,"Director, Civil Service Workforce Reform",Civil Service HR,0,85000,89999,Human Resources
Sep-15,33,592,Senior,Janette Durbin,SCS2,"Director, Civil Service Talent",Civil Service HR,0,100000,104999,Human Resources
Sep-15,35,317,Senior,Christopher Martin,SCS3,"Director General, PPS to Prime Minister",Prime Minister's Office,366221.8,125000,129999,Policy
Sep-15,37,497,Senior,Ruth Bailey & Crystal Akass,SCS2,"Director, Human Resources",Human Resources,0,50000,54999,Human Resources
Sep-15,38,497,Senior,Alex Aiken,SCS2,"Executive Director, Government Communications",Government Communications,0,135000,139999,Communications
