date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-14,PS,,Senior,Bronwyn Hill,SCS4,Permanent Secretary,Strategy & Private Office,0,160000,164999,Policy
Sep-14,DG01,PS,Senior,Betsy Bassis,SCS3,Chief Operating Officer,Director General Offices,210000,140000,144999,Policy
Sep-14,DG02,PS,Senior,Peter Unwin,SCS3,Director General Policy Delivery Group,Director General Offices,0,130000,134999,Policy
Sep-14,DG03,PS,Senior,Nicholas Joicey,SCS3,"Director General Strategy, International & Biosecurity",Director General Offices,414000,105000,109999,Policy
Sep-14,DG04,PS,Senior,Ian Boyd,SCS3,Chief Scientific Adviser,Strategic Evidence & Analysis,0,95000,99999,Science and Engineering
Sep-14,D01,DG01,Senior,Martin Hurst,SCS2,Commercial Director,Commercial,771000,90000,94999,Property and asset management
Sep-14,D02,DG01,Senior,Alastair Bridges,SCS2,Director of Finance & Performance,Finance,0,85000,89999,Finance
Sep-14,D03,DG01,Senior,Lorraine Jainudeen,SCS2,Group HR Director,Human Resources,0,100000,104999,Human Resources
Sep-14,D04,DG01,Senior,Julie Pierce,SCS2,"Chief Information Officer, Director of Information Services",Chief Information Officer,3234000,115000,119999,Knowledge and Information Management (KIM)
Sep-14,D06,DG03,Senior,N/D,SCS2,"Director, Animal Health & Welfare (Disease Control)",Animal Health & Welfare: Disease Control,0,85000,89999,Policy
Sep-14,D07,DG03,Senior,Alick Simmons,SCS2,Director of Plant & Animal Health and Deputy Chief Veterinary Officer,Plant & Animal Health,181000,100000,104999,Vets
Sep-14,D08,DG03,Senior,Nigel Gibbens,SCS2,Chief Veterinary Officer,Plant & Animal Health,0,115000,119999,Vets
Sep-14,D09,DG02,Senior,Colin Church,SCS2,"Director, Resource, Atmosphere & Sustainability",Resource Atmosphere & Sustainability,643000,90000,94999,Policy
Sep-14,D10,DG02,Senior,Sarah Church,SCS2,"Director, Food and Environmental Risk",Food & Environmental Risk,0,85000,89999,Policy
Sep-14,D11,DG02,Senior,John Robbs,SCS2,Director: Marine and Fisheries,Marine & Fisheries,0,110000,114999,Policy
