date,level,id,parentId
Sep-15,,DFE-1127,DFE-1009
Sep-15,,DFE-1094,DFE-1020
Sep-15,,DFE-1256,DFE-1135
Sep-15,,DFE-1026,DFE-1049
Sep-15,,DFE-1016,DFE-1002
Sep-15,,DFE-1257,DFE-1133
Sep-15,,DFE-1210,DFE-1049
Sep-15,,DFE-1105,DFE-1135
Sep-15,,DFE-1171,DFE-1017
Sep-15,,DFE-1133,DFE-1136
Sep-15,,DFE-1032,DFE-1087
Sep-15,,DFE-1258,DFE-1020
Sep-15,,DFE-1259,DFE-1084
Sep-15,,DFE-1220,DFE-1003
Sep-15,,DFE-1017,DFE-1003
Sep-15,,DFE-1085,DFE-1002
Sep-15,,DFE-1239,DFE-1213
Sep-15,,DFE-1275,DFE-1006
Sep-15,,DFE-1260,DFE-1016
Sep-15,,DFE-1083,DFE-1021
Sep-15,,DFE-1035,DFE-1005
Sep-15,,DFE-1087,DFE-1003
Sep-15,,DFE-1245,DFE-1213
Sep-15,,DFE-1053,DFE-1137
Sep-15,,DFE-1214,DFE-1003
Sep-15,,DFE-1278,DFE-1019
Sep-15,,DFE-1253,DFE-1251
Sep-15,,DFE-1025,DFE-1021
Sep-15,,DFE-1072,DFE-1133
Sep-15,,DFE-1238,DFE-1213
Sep-15,,DFE-1099,DFE-1137
Sep-15,,DFE-1262,DFE-1124
Sep-15,,DFE-1237,DFE-1009
Sep-15,,DFE-1150,DFE-1215
Sep-15,,DFE-1250,DFE-1277
Sep-15,,DFE-1003,DFE-1001
Sep-15,,DFE-1124,DFE-1084
Sep-15,,DFE-1123,DFE-1191
Sep-15,,DFE-1267,DFE-1214
Sep-15,,DFE-1011,DFE-1263
Sep-15,,DFE-1031,DFE-1020
Sep-15,,DFE-1183,DFE-1124
Sep-15,,DFE-1135,DFE-1136
Sep-15,,DFE-1213,DFE-1084
Sep-15,,DFE-1264,DFE-1192
Sep-15,,DFE-1042,DFE-1020
Sep-15,,DFE-1006,DFE-1002
Sep-15,,DFE-1265,DFE-1019
Sep-15,,DFE-1266,DFE-1009
Sep-15,,DFE-1225,DFE-1135
Sep-15,,DFE-1022,DFE-1009
Sep-15,,DFE-1244,DFE-1084
Sep-15,,DFE-1111,DFE-1220
Sep-15,,DFE-1081,DFE-1192
Sep-15,,DFE-1033,DFE-1277
Sep-15,,DFE-1086,DFE-1084
Sep-15,,DFE-1064,DFE-1137
Sep-15,,DFE-1170,DFE-1086
Sep-15,,DFE-1040,DFE-1017
Sep-15,,DFE-1009,DFE-1263
Sep-15,,DFE-1192,DFE-1135
Sep-15,,DFE-1106,DFE-1135
Sep-15,,DFE-1172,DFE-1005
Sep-15,,DFE-1005,DFE-1003
Sep-15,,DFE-1002,DFE-1001
Sep-15,,DFE-1208,DFE-1220
Sep-15,,DFE-1187,DFE-1090
Sep-15,,DFE-1268,DFE-1016
Sep-15,,DFE-1136,DFE-1084
Sep-15,,DFE-1119,DFE-1006
Sep-15,,DFE-1215,DFE-1001
Sep-15,,DFE-1227,DFE-1021
Sep-15,,DFE-1270,DFE-1017
Sep-15,,DFE-1221,DFE-1124
Sep-15,,DFE-1075,DFE-1011
Sep-15,,DFE-1084,DFE-1001
Sep-15,,DFE-1065,DFE-1133
Sep-15,,DFE-1247,DFE-1124
Sep-15,,DFE-1277,DFE-1084
Sep-15,,DFE-1028,DFE-1049
Sep-15,,DFE-1173,DFE-1006
Sep-15,,DFE-1276,DFE-1009
Sep-15,,DFE-1137,DFE-1136
Sep-15,,DFE-1151,DFE-1020
Sep-15,,DFE-1153,DFE-1011
Sep-15,,DFE-1021,DFE-1015
Sep-15,,DFE-1272,DFE-1087
Sep-15,,DFE-1243,DFE-1215
Sep-15,,DFE-1020,DFE-1136
Sep-15,,DFE-1029,DFE-1020
Sep-15,,DFE-1242,DFE-1213
Sep-15,,DFE-1273,DFE-1249
Sep-15,,DFE-1249,DFE-1002
Sep-15,,DFE-1139,DFE-1133
Sep-15,,DFE-1129,DFE-1090
Sep-15,,DFE-1241,DFE-1213
Sep-15,,DFE-1062,DFE-1020
