id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
root,,,,,,,,,,,
4PO01,root,Sep-14,Senior,Mark Sedwill,SCS4,Permanent Secretary,Permanent Secretary's Office,0,180000,184999,Other
2PO01,4PO01,Sep-14,Senior,Tim Foy,SCS2,"Director, Strategy and Delivery",Strategy and Delivery Unit,460000,85000,89999,Operational Delivery
1PO04,2PO01,Sep-14,Senior,N/D,SCS1,"Deputy Director, Strategy and Delivery",Strategy and Delivery Unit,0,0,0,Operational Delivery
1PO03,4PO01,Sep-14,Senior,N/D,SCS1,Principal Private Secretary to the Permanent Secretary,Permanent Secretary's Office,280000,0,0,Operational Delivery
1PO01,2PO01,Sep-14,Senior,N/D,SCS1,Principal Private Secretary to Home Secretary,Home Secretary's Office,1850000,0,0,Operational Delivery
2PO02,4PO01,Sep-14,Senior,'Eliminated',SCS2,Principal Private Secretary and Head of Private Office,Home Secretary's Office,0,0,0,Operational Delivery
1BF20,2BF03,Sep-14,Senior,N/D,SCS1,Head of Operational Assurance,Operational Assurance,1060000,0,0,Operational Delivery
1BF17,2BF03,Sep-14,Senior,N/D,SCS1,"Director, National Operations Command",National Operations Command,6700000,0,0,Operational Delivery
1BF21,2BF04,Sep-14,Senior,N/D,SCS1,"Deputy Director, Capability Integration",Capability Integation,0,0,0,Operational Delivery
1BF18,2BF03,Sep-14,Senior,N/D,SCS1,Head of Intelligence,Intelligence,19550000,0,0,Operational Delivery
1BF16,2BF04,Sep-14,Senior,N/D,SCS1,"Director, Heathrow Transformation Delivery",Heathrow Transformation,930000,0,0,Operational Delivery
1BF11,2BF01,Sep-14,Senior,N/D,SCS1,"Programme Director, Border Systems People and Capacity",Border Systems,0,0,0,Operational Delivery
1BF03,2BF03,Sep-14,Senior,N/D,SCS1,Head of Central Region,Central Region,31660000,0,0,Operational Delivery
1BF12,2BF01,Sep-14,Senior,N/D,SCS1,"Programme Director, Border Systems Cyclamen",Border Systems,560000,0,0,Operational Delivery
1BF10,2BF03,Sep-14,Senior,N/D,SCS1,Head of North Region,North Region,28020000,0,0,Operational Delivery
3BF01,4PO01,Sep-14,Senior,Charles Montgomery,SCS3,"Director General, Border Force",Border Force,610000,140000,144999,Operational Delivery
1BF14,2BF03,Sep-14,Senior,N/D,SCS1,Head of South East and Europe,South & Europe,37020000,0,0,Operational Delivery
1BF01,2BF03,Sep-14,Senior,N/D,SCS1,Head of Heathrow Operations,Heathrow,51580000,0,0,Operational Delivery
1BF04,2BF03,Sep-14,Senior,N/D,SCS1a,Head of South Region and National Customs and Operations,South Region,32470000,0,0,Operational Delivery
1BF19,2BF04,Sep-14,Senior,N/D,SCS1,Deputy Director Programmes and Planning,Communications,1950000,0,0,Operational Delivery
1BF24,2BF04,Sep-14,Senior,N/D,SCS1,Critical Systems and Services,Critical Systems and Services,1400000,0,0,Operational Delivery
1BF22,2BF04,Sep-14,Senior,N/D,SCS1,"Programme Director, Exit Checks",Exit Checks,200000,0,0,Operational Delivery
1BF02,2BF03,Sep-14,Senior,N/D,SCS1,Digital Services at the Border - Service Manager,Border System Operations,0,0,0,Operational Delivery
2BF03,3BF01,Sep-14,Senior,Philip Duffy,SCS2,Chief Operating Officer,Chief Operating Officer,290000,85000,89999,Operational Delivery
2BF04,3BF01,Sep-14,Senior,Julie Taylor,SCS2,Director of Strategy and Change,Strategy and Change,0,120000,124999,Operational Delivery
2BF01,3BF01,Sep-14,Senior,Gary Downes,SCS2,"Portfolio Director, Border Systems",Border Systems Director,2780000,0,0,Operational Delivery
2BF06,3BF01,Sep-14,Senior,Vacant,SCS2,"Director, Digital Services at the Border",Border System Operations,0,0,0,Operational Delivery
1BF23,2BF04,Sep-14,Senior,Vacant,SCS1,Deputy Director Strategy and Policy,Strategy and Change,0,0,0,Operational Delivery
2COM01,4PO01,Sep-14,Senior,"Wren, Simon",SCS2,Director of Communications,Communication Directorate,1690000,105000,109999,Communications
1COM05,2COM01,Sep-14,Senior,N/D,SCS1,Head of Digital Communications,Digital Communications,1100000,0,0,Communications
1COM03,2COM01,Sep-14,Senior,N/D,SCS1,"Head of Strategic Communications, Marketing and Insight","Strategic Communications, Marketing and Insight",1530000,0,0,Communications
1COM04,2COM01,Sep-14,Senior,N/D,SCS1,Head of Press and Planning Unit,Press Office and Planning Unit,2490000,0,0,Communications
1COM06,2COM01,Sep-14,Senior,N/D,SCS1,"Head of Internal Communications, Staff Engagement and Professional Development",Internal Communications,1210000,0,0,Communications
1COM02,2COM01,Sep-14,Senior,Eliminated,SCS1,Head of E-Communications,E-Communications,0,0,0,Communications
1COM01,2COM01,Sep-14,Senior,Eliminated,SCS1,Head of Corporate Communications,Corporate Communications,0,0,0,Communications
3CS01,4PO01,Sep-14,Senior,Mike Parsons,SCS3,Chief Operating Officer,Office of the Chief Operating Officer,1450000,150000,154999,Finance
1CS41,3CS01,Sep-14,Senior,N/D,SCS1,Head of Immigration Checking and Enquiry Service,Immigration Checking and Enquiry Service,6390000,0,0,Information Technology
2CS02,3CS01,Sep-14,Senior,David Taylor,SCS2,Commercial Director,Commercial Director,0,105000,109999,Procurement
1CS06,2CS02,Sep-14,Senior,N/D,SCS1,"Commercial Lead, Communications Capabilities Development (CCD) Programme",Commercial SST,0,0,0,Procurement
1CS04,2CS02,Sep-14,Senior,N/D,SCS1,Head of Commercial Delivery,Commercial Delivery,0,0,0,Procurement
1CS03,2CS02,Sep-14,Senior,N/D,SCS1,Head of Procurement Delivery,Procurement Delivery,0,0,0,Procurement
1CS02,2CS02,Sep-14,Senior,N/D,SCS1,Head of Police Commercial,Commercial - Policing,0,0,0,Procurement
1CS05,2CS02,Sep-14,Senior,N/D,SCS1,"Commercial lead, Emergency Services Mobile Communications Programme",Commercial Emergency Services Mobile Communications Programme,0,0,0,Procurement
1CS07,2CS02,Sep-14,Senior,N/D,SCS1,Head of Commercial Strategy and Performance,"Commercial - Strategy, Intelligence & Performance",0,0,0,Procurement
2CS01,3CS01,Sep-14,Senior,Owen Mapley,SCS2,Director of Finance and Estates,Finance and Estates,960000,110000,114999,Finance
1CS15,2CS01,Sep-14,Senior,N/D,SCS1,Head of Financial Planning Unit,Financial Planning Unit,1900000,0,0,Finance
1CS20,2CS01,Sep-14,Senior,N/D,SCS1,HM Passport Office and UK Visas and Immigration Senior Finance Business Partner,HM Passport Office & UK Visas and Immigration Finance Unit,1820000,0,0,Finance
1CS19,2CS01,Sep-14,Senior,N/D,SCS1,Head of General Property,Home Office General Property,6320000,0,0,Finance
1CS17,2CS01,Sep-14,Senior,N/D,SCS1,Border Force Senior Finance Business Partner,Border Force Finance Unit,680000,0,0,Finance
1CS16,2CS01,Sep-14,Senior,N/D,SCS1,Head of Adelphi Services,Adelphi Services,1190000,0,0,Finance
1CS21,2CS01,Sep-14,Senior,N/D,SCS1,Financial Controller,Financial Control Unit,9680000,0,0,Finance
1CS23,2CS01,Sep-14,Senior,N/D,SCS1,"Immigration Enforcement, Enablers and International and Immigration Policy Group Senior Finance Business Partner",Immigration Enforcement and Enablers Finance Unit,660000,0,0,Finance
2CS03,3CS01,Sep-14,Senior,Gareth Hills,SCS2,"Director, Performance & Risk",Performance and Risk,0,85000,89999,Statisticians
1CS11,2CS03,Sep-14,Senior,N/D,SCS1,Head of Continuous Improvement Unit,Continuous Improvement Unit,2360000,0,0,Policy
1CS10,2CS03,Sep-14,Senior,N/D,SCS1,Chief Internal Auditor,Internal Audit Unit,1930000,0,0,Internal Audit
1CS09,2CS03,Sep-14,Senior,N/D,SCS1,Head of Performance Unit,Performance Unit,4430000,0,0,Statisticians
1CS12,2CS03,Sep-14,Senior,N/D,SCS1,Head of Assurance and Compliance,Assurance and Compliance,1510000,0,0,Policy
1CS08,2CS03,Sep-14,Senior,N/D,SCS1,Head of Corporate Security,Corporate Security,14970000,0,0,Property and asset management
1CS40,2CS03,Sep-14,Senior,N/D,SCS1,Head of Knowledge and Information Management,Knowledge and Information Management Unit,4310000,0,0,Knowledge and Information Management (KIM)
2CS04,3CS01,Sep-14,Senior,Norman Driskell,SCS2,Chief Digital Officer,Chief Digital Officer,0,0,0,Information Technology
1CS22,2CS04,Sep-14,Senior,N/D,SCS1,"Programme Director, Home Office Data Analytics",Home Office Data Analytics,0,0,0,Information Technology
1CS24,2CS04,Sep-14,Senior,N/D,SCS1,Head of Digital Data and Identity,Digital Data and Integrity,0,0,0,Information Technology
2CS05,3CS01,Sep-14,Senior,Denise McDonagh,SCS2,Chief Technology Officer,Home Office Technology,0,95000,99999,Information Technology
2CS09,2CS05,Sep-14,Senior,Jackie Keane,SCS2,"Programme Director, Immigration Platform Technologies",Immigration Platform Technologies,0,85000,89999,Information Technology
1CS34,2CS05,Sep-14,Senior,N/D,SCS1,"Programme Director, Policing Portfolio",Policing Portfolio Unit,340000,0,0,Information Technology
1CS29,2CS05,Sep-14,Senior,N/D,SCS1,"Head of Technology Strategy, Transformation and Architecture","Technology Strategy, Transformation and Architecture Unit",8830000,0,0,Information Technology
1CS33,2CS05,Sep-14,Senior,N/D,SCS1,Head of Test Design and Consultancy Services,Design and Consultancy Unit,5820000,0,0,Information Technology
1CS32,2CS05,Sep-14,Senior,N/D,SCS1,Head of Technology People and Customer Engagement,"Technology, People and Customer Engagement Unit",29100000,0,0,Information Technology
1CS31,1CS29,Sep-14,Senior,N/D,SCS1,Chief Architect,Architecture Unit,0,0,0,Information Technology
