Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Sep-14,Senior,PS,Bronwyn Hill,SCS4,Permanent Secretary,Permanent Secretary's office,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Strategy & Private Office,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,XX,0,1,160000,164999,Policy,,1
Sep-14,Senior,DG01,Betsy Bassis,SCS3,Chief Operating Officer,DG for Defra Operational Delivery,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Director General Offices,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,PS,210000,1,140000,144999,Policy,,1
Sep-14,Senior,DG02,Peter Unwin,SCS3,Director General Policy Delivery Group,Member of the Defra Supervisory Board and Director General for Policy Delivery,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Director General Offices,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,PS,0,1,130000,134999,Policy,,1
Sep-14,Senior,DG03,Nicholas Joicey,SCS3,"Director General Strategy, International & Biosecurity","Member of the Defra Supervisory Board and Director General for Strategy, International and Biosecurity. Head of the Policy Profession in Defra.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Director General Offices,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,PS,414000,1,105000,109999,Policy,,1
Sep-14,Senior,DG04,Ian Boyd,SCS3,Chief Scientific Adviser,1. Provide Ministerial advice. 2. Ensure quality and fit-for-purpose science. 3. Engage with stakeholders; stakeholder networking and integration. 4. Raise the profile of Defra science and manage interface with the public.,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Strategic Evidence & Analysis,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,PS,0,0.78,95000,99999,Science and Engineering,,1
Sep-14,Senior,D01,Martin Hurst,SCS2,Commercial Director,"SRO for estates and FM, health and safety, procurement, commercial oversight and specific programmes, review of laboratory agencies. Executive agencies coporate ownership. Corporate customer/sponsor for Legal, Shared Services, Royal Botanic Gardens - Kew","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Commercial,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG01,771000,1,90000,94999,Property and asset management,,1
Sep-14,Senior,D02,Alastair Bridges,SCS2,Director of Finance & Performance,Director Finance & Performance [and Head of Finance Professsion],"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Finance,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG01,0,1,85000,89999,Finance,,1
Sep-14,Senior,D03,Lorraine Jainudeen,SCS2,Group HR Director,Group HR Director,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Human Resources,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG01,0,1,100000,104999,Human Resources,,1
Sep-14,Senior,D04,Julie Pierce,SCS2,"Chief Information Officer, Director of Information Services","Head of Information Services, responsible for ICT and Knowledge, Transparency and Resilience across Defra. Develop and deliver a portfolio of ICT, Knowledge, Transparency and Resilience services, products and programmes across Defra, e.g. end-user IT services (desktop/laptop, business applications, audio/video conferencing, related service management and user training - to 11,000 staff across core and wider Network), library and translation services, advice on FOI, information assurance and the provision of physical and personnel security. Deliver the Government’s digital agenda, seeking to transform customer experience through the deployment of digital technologies, implementing digital solutions to business problems (e.g. digital engagement and transactions, collaboration, information analysis, and synthesis in support of scientific research and policy development).","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Chief Information Officer,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG01,3234000,1,115000,119999,Knowledge and Information Management (KIM),Temporarily filling a SCS2 post,1
Sep-14,Senior,D06,N/D,SCS2,"Director, Animal Health & Welfare (Disease Control)","Directorate includes: animal welfare; on-farm, companion and sporting animals; bovine TB; disease response capability; animal movements and ID; cloning; AHWBE and FAWC secretariats; transport and markets; slaughter; plant and bee health; AHVLA sponsorship; animal & plant health evidence and analysis.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Animal Health & Welfare: Disease Control,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,0,1,85000,89999,Policy,,1
Sep-14,Senior,D07,Alick Simmons,SCS2,Director of Plant & Animal Health and Deputy Chief Veterinary Officer,"Director of Plant & Animal Health and Deputy Chief Veterinary Officer: This includes bee health, pollinators and plant varieties","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Plant & Animal Health,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,181000,1,100000,104999,Vets,,1
Sep-14,Senior,D08,Nigel Gibbens,SCS2,Chief Veterinary Officer,"UK/Defra chief spokesperson on animal (terrestrial and aquatic, excluding bees) health and welfare issues. Responsible for the totality of veterinary professional input to animal health and welfare policy, helping to shape policy across England and throughout Great Britain/UK, influencing its delivery through the Animal Health and Veterinary Laboratories Agency and others. Lead the Defra/England response to outbreaks of exotic animal diseases. Representation of the UK in the EU and internationally, negotiating on behalf of the UK Government. Advice and assurance on the programmes necessary to control, and, where appropriate, eradicate disease. Head of Profession for all veterinary surgeons in the Government's employment","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Plant & Animal Health,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,0,1,115000,119999,Vets,,1
Sep-14,Senior,D09,Colin Church,SCS2,"Director, Resource, Atmosphere & Sustainability","Responsibilities include the Government’s policies on adaptation to a changing climate, air quality, noise, local environmental quality, sustinable development and wellbeing, sustainable economy, sustainable procurement and waste; support for waste infrastructure development. Lead for Defra on climate change mitigation. Non-executive director of WRAP. Fifth PCO for serious air pollution incidents.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Resource Atmosphere & Sustainability,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG02,643000,1,90000,94999,Policy,,1
Sep-14,Senior,D10,Sarah Church,SCS2,"Director, Food and Environmental Risk","Food policy, GM and Chemicals policy.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Food & Environmental Risk,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG02,0,1,85000,89999,Policy,,1
Sep-14,Senior,D11,John Robbs,SCS2,Director: Marine and Fisheries,SRO for Marine Programme,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Marine & Fisheries,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG02,0,1,110000,114999,Policy,,1
Sep-14,Senior,D12,Sarah Hendry,SCS2,"Director Rural Development, Sustainable Communities & Crops","SRO for: Rural Policy; Rural Development Programme for England; Single Farm Payment Scheme policy; corporate customer for RPA); Landscape, access, forestry, waterways policy; Defra interests in planning, housing, construction and transport; crops and horticulture policy; CAP implementation.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Rural Development, Sustainable Communities & Crops",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG02,0,1,90000,94999,Policy,,1
Sep-14,Senior,D13,Shirley Trundle,SCS2,Director Sustainable Land Management and Livestock Farming,"Director for Sustainable Land Management and Livestock Farming. SRO for Biodiversity, Soils and Natural Value Programmes. Sponsor of livestock industry and relationship with the wider farming sector. Sponsorship of Natural England, JNCC and the Natural Capital Committee.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Sustainable Land Management & Livestock Farming,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG02,308000,1,110000,114999,Policy,,1
Sep-14,Senior,D14,Sonia Phippard,SCS2,"Director, Water and Flood Risk Management",Water and Flood Risk Management,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Water & Flood Management,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG02,784000,1,115000,119999,Policy,,1
Sep-14,Senior,D15,Ulrike Hotopp,SCS2,Director Analysis and Chief Economist,Director Analysis and Chief Economist,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Strategic Evidence & Analysis,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,448000,1,85000,89999,Economics,,1
Sep-14,Senior,D17,Emily Tofield,SCS2,Director of Communications,"Director of Communications. Management of Defra's External and Internal Communications including Press Office, PR and External Communications, Internal Communications, Website and Social Media Channel Management, Stakeholder Account Management and Stakeholder Engagement, Local Government and Local Growth, and the Comms Planning, Horizon Scanning and Performance Monitoring Unit. Leading a major change programme for the communications functions across the whole of the Defra network.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Communications,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,0,0.92,85000,89999,Communications,,1
Sep-14,Senior,D18,Amy Holmes,SCS2,"Director: Better Regulation, EU and International","Better Regulation, EU and International policy in Defra","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","EU, International & CAP Reform",03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,262000,1,85000,89999,Policy,,1
Sep-14,Senior,D20,Jeremy Marlow,SCS2,Principal Private Secretary and Director of Strategy,Principal Private Secretary and Director of Strategy,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Strategy & Private Office,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,1310000,1,85000,89999,Policy,,1
Sep-14,Senior,D22,Tom Holton,SCS2,"Director, Defra Network One Business","To lead One Business across the whole Defra Network, looking at all aspects of the way we want to do business in future with the aim of serving customers as one business.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Strategic Alignment,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG03,0,1,95000,99999,Information Technology,,1
Sep-14,Senior,D23,Jonathan Broomfield,SCS2,"Director, CAP Delivery Programme","Director, CAP Delivery Programme","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",CAP Delivery,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG01,187000,1,0,0,Policy,Inward loan from Rural Payments Agency,1
Sep-14,Senior,D24,Dave Webster,SCS2,"Interim Director, Network Corporate Services","Interim Director, Network Corporate Services","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Director General Offices,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,DG01,0,1,110000,114999,Policy,Inward loan from Natural England. Supernumary post,1
Sep-14,Senior,DD01,N/D,SCS1,"Deputy Director, Commercial Projects and Strategy",Leading the development of Defra's Commercial Strategy and a range our major projects,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Commercial,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D01,312000,1,N/A,,Policy,,1
Sep-14,Senior,DD02,N/D,SCS1,"Head, Kew Sponsorship and Agency Futures Team","Sponsorship of RBG Kew, and two One Business wokrstreams: the creation of the Animal and Plant Health Agency (a merger between AHVLA and ex-Fera inspectorates and the Future of Cefas","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Commercial,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D01,0,0.58,N/A,,Policy,,1
Sep-14,Senior,DD03,N/D,SCS1,Head of Commercial Projects,Future of Science Capabilities,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Commercial,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D01,421000,1,N/A,,Policy,,1
Sep-14,Senior,DD04,N/D,SCS1,Head of Procurement & Contracts Function,Head of Procurement & Contracts Function,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Commercial,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D01,1593000,1,N/A,,Procurement,,1
Sep-14,Senior,DD05,N/D,SCS1,Deputy Director Managing the Defra network Estate,Managing the Defra network estate,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Commercial,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D01,1455000,0.92,N/A,,Property and asset management,Temporarily filling a SCS1 post,1
Sep-14,Senior,DD07,N/D,SCS1,Head of Financial Business Partnering,"Head of Financial Business Partnering for the DG Groups: Policy Delivery and Strategy, International & Biosecurity supporting Directors and Network Bodies on all financial and Accounting Officer issues.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Finance,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D02,1438000,1,N/A,,Finance,,1
Sep-14,Senior,DD08,N/D,SCS1,"Head of Finance, Planning, Performance and Governance",Leading the FPPG Team,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Finance,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D02,1348000,1,N/A,,Finance,,1
Sep-14,Senior,DD09,N/D,SCS1,Group Chief Internal Auditor - Defra Shared Audit Service (DSAS),"Responsible for the transition of IA service into the new single Audit Agency and delivery of the annual audit plan and assurances for the Defra - Core, contributing to the programme of work under the Defra Shared Audit Service (DSAS).","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Finance,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D02,708000,1,N/A,,Internal Audit,Temporarily filling a SCS1 post,1
Sep-14,Senior,DD10,N/D,SCS1,Deputy Director Financial Reporting and Control,"Responsible for preparing the Defra Annual Report and Accounts, Whole of Government Accounts on Oscar and Preparing the Main and Supplementary Estimates. Monthly Outturn and cash forecasts to HMT. Responsible for certain transparency data in respect of GPC and >£25K procurement, central requisitioning and monthly financial report publishing.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Finance,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D02,1705000,1,N/A,,Finance,,1
Sep-14,Senior,DD11,N/D,SCS1,Lead Finance Business Partner for Enablers,"Finance function lead for Shared Services Transformation; implementation of tax support arrangements; Business Partner support for Chief Operating Officer (IS, Commercial , Estates, HR, CAP Delivery, Strategic Alignment)","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Finance,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D02,603000,1,N/A,,Finance,,1
Sep-14,Senior,DD12,N/D,SCS1,Deputy Director HR Expert Services,HR Expert Services - Deputy Director,"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",Human Resources,03459 33 55 77,defra.helpline@defra.gsi.gov.uk,D03,1585000,1,N/A,,Human Resources,,1
